NIG,2838243,2878971,2960427,3041883,3082611,3123339,3204795,3245523,3306615,3367707,3571347,3632439,3693531,3388764,3802640,4263745,4768078,5334918,5988904,6720344,7540253,8549424,9819964,11352973,13127012,15228525,17731634
NGR,30588002,31242800,32552396,33861992,34516790,35171588,36481184,37135982,38118179,39100376,42374366,43356563,44338760,45137812,49066059,53505978,58662603,65226229,73460724,81497739,90450281,100221563,110732904,122352009,135393616,150347390,167297284
NOR,1122741,1199705,1353633,1507561,1584525,1661489,1815417,1892381,2007827,2123273,2508093,2623539,2738985,3581239,3694339,3816486,3933004,4026152,4085620,4140099,4209488,4286401,4381336,4490967,4591910,4768212,5018573
PAK,34630821,35214007,36380379,37546751,38129937,38713123,39879495,40462681,41337460,42212239,45128169,46002948,46877727,44908293,49551904,55042397,61338261,68813220,78068144,89228949,101474835,113747135,125938339,138523285,150780300,163644603,177911533
PAN,757586,776930,815618,854306,873650,892994,931682,951026,980042,1009058,1105778,1134794,1163810,1132921,1276276,1434657,1607834,1791453,1978578,2170409,2368618,2576018,2796344,3030347,3269541,3516268,3772938
PAR,1325675,1354967,1413551,1472135,1501427,1530719,1589303,1618595,1662533,1706471,1852931,1896869,1940807,1902875,2114095,2350901,2596739,2861581,3180630,3567752,3994331,4432736,4870694,5302700,5703740,6047117,6379219
PER,6478719,6654449,7005909,7357369,7533099,7708829,8060289,8236019,8499614,8763209,9641859,9905454,10169049,10061515,11281015,12629329,14072476,15639901,17359120,19099584,20909895,22737056,24441074,25914879,27273194,28641980,30158966
PHI,19497892,19906438,20723530,21540622,21949168,22357714,23174806,23583352,24196171,24808990,26851720,27464539,28077358,26273025,29962876,33797042,37925400,42461193,47396968,52873974,58845205,65075486,71446107,77991569,84678493,90751864,96866642
POL,9564657,10214085,11512941,12811797,13461225,14110653,15409509,16058937,17033079,18007221,21254361,22228503,23202645,29637450,31139450,32294655,33055650,34356300,35574150,36904134,37824487,38363667,38624370,38258629,38182222,38125759,38063164
POR,2572474,2751450,3109402,3467354,3646330,3825306,4183258,4362234,4630698,4899162,5794042,6062506,6330970,8857716,9035365,8836650,8630430,9355810,9766312,9996232,10019610,9952494,10063945,10289898,10483861,10558177,10514844
PUR,952651,1001491,1099171,1196851,1245691,1294531,1392211,1441051,1514311,1587571,1831771,1905031,1978291,2358000,2554066,2662064,2817256,3043854,3206000,3344190,3473898,3585176,3724655,3810605,3826878,3760866,3634488
QAT,148066,149632,152764,155896,157462,159028,162160,163726,166075,168424,176254,178603,180952,47384,67567,93201,130534,173836,223775,341455,443794,495517,522304,592267,758855,1389342,2109568
ROU,5610742,6016144,6826948,7637752,8043154,8448556,9259360,9664762,10272865,10880968,12907978,13516081,14124184,18406905,18919126,19799831,20657957,21551634,22242653,22655940,23057662,22794284,22619004,22442971,21451748,20537875,20058035
RUS,36649139,39285677,44558753,49831829,52468367,55104905,60377981,63014519,66969326,70924133,84106823,88061630,92016437,119897000,125345000,128928000,131909000,135147000,139010000,142745000,146857000,148689000,148160042,146596557,144067054,142742350,143201676
RU1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
